"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"2010"	"2010"	"1-4 years"	"1-4"	"All other diseases (Residual) "	"GR113-111"	10	252378	Unreliable
	"2010"	"2010"	"1-4 years"	"1-4"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	35	252378	13.9
	"2010"	"2010"	"1-4 years"	"1-4"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	15	252378	Unreliable
	"2010"	"2010"	"1-4 years"	"1-4"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	15	252378	Unreliable
	"2010"	"2010"	"1-4 years"	"1-4"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	20	252378	7.9
	"2010"	"2010"	"5-14 years"	"5-14"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	12	613198	Unreliable
	"2010"	"2010"	"5-14 years"	"5-14"	"All other diseases (Residual) "	"GR113-111"	21	613198	3.4
	"2010"	"2010"	"5-14 years"	"5-14"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	36	613198	5.9
	"2010"	"2010"	"5-14 years"	"5-14"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	23	613198	3.8
	"2010"	"2010"	"5-14 years"	"5-14"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	22	613198	3.6
	"2010"	"2010"	"5-14 years"	"5-14"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	13	613198	Unreliable
	"2010"	"2010"	"5-14 years"	"5-14"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	10	613198	Unreliable
	"2010"	"2010"	"15-24 years"	"15-24"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	27	665088	4.1
	"2010"	"2010"	"15-24 years"	"15-24"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	19	665088	Unreliable
	"2010"	"2010"	"15-24 years"	"15-24"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	17	665088	Unreliable
	"2010"	"2010"	"15-24 years"	"15-24"	"Other heart diseases (I26-I51)"	"GR113-064"	15	665088	Unreliable
	"2010"	"2010"	"15-24 years"	"15-24"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	13	665088	Unreliable
	"2010"	"2010"	"15-24 years"	"15-24"	"All other diseases (Residual) "	"GR113-111"	40	665088	6.0
